Ticker,Setup Type,Date,Price,Change %,Volume,Avg Volume 20D,RSI,Prior RSI High,MA20,MA40,Distance to MA20 %,Red Candles,Near Support,Support Level,Distance to Support %,Range Position %,Hammer,Prior Support Hammers,Pattern Score,Refinement Score,Total Score,MACD Reversal,ADX Rising,RSI In Pullback Zone,Notes
PDM,Uptrend Pullback,2026-08-07,9.48,0.11,718434,733082,45.31,69.9,9.69,9.45,-2.14,4,True,9.3,1.94,21.95,False,1,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; Price in lower third of recent range; 4 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support
STNE,Sideways Support,2026-08-07,10.6,-4.68,3435162,3401768,40.51,63.79,11.14,11.02,-4.85,5,True,10.55,0.47,5.0,False,1,65,,65,,,,Sideways Support; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support
TIXT,Sideways Support,2025-10-30,4.31,0.0,289131,389834,27.03,60.0,4.44,4.47,-2.93,3,True,4.31,0.0,0.0,False,1,65,,65,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 3 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support
TWO,Uptrend Pullback,2026-08-07,12.12,0.5,2995742,3051120,67.5,74.36,12.01,11.96,0.91,6,True,11.88,2.02,100.0,False,1,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 6 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support
UZD,Uptrend Pullback,2026-08-07,19.14,-0.36,2741,4126,47.73,68.24,19.06,18.96,0.41,3,True,18.6,2.9,72.97,False,1,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support
YOU,Sideways Support,2026-08-07,51.29,-3.77,2102760,1389809,36.36,55.84,54.53,54.13,-5.95,5,True,51.0,0.57,1.6,False,1,65,,65,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support
AIZN,Uptrend Pullback + Sideways Support,2026-08-07,18.82,-0.11,13069,16792,29.83,75.15,19.24,18.98,-2.16,5,True,18.7,0.64,10.08,False,0,65,,65,,,,Uptrend Pullback + Sideways Support; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
AVDL,Uptrend Pullback,2026-02-12,21.64,0.0,200,2955211,68.42,67.86,21.57,21.53,0.35,4,True,21.48,0.74,57.14,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
AVDX,Uptrend Pullback,2025-10-15,10.0,0.0,0,2140462,64.29,63.64,9.96,9.95,0.41,4,True,9.93,0.7,77.78,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
BOC,Uptrend Pullback,2026-08-07,14.44,0.98,82370,99376,60.8,67.17,14.26,14.0,1.28,4,True,13.94,3.59,59.52,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
BSM,Uptrend Pullback,2026-08-07,14.1,-0.07,1627312,423052,55.03,76.59,14.25,13.92,-1.02,5,True,13.62,3.52,41.74,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support
EBC,Uptrend Pullback,2026-08-07,22.84,-0.26,983659,2850248,52.84,71.82,22.94,22.25,-0.44,5,True,22.04,3.63,46.78,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support
ET,Uptrend Pullback,2026-08-07,20.13,-0.35,11092995,9771122,55.25,75.79,19.93,19.39,1.01,5,True,19.45,3.5,67.33,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support
FARO,Uptrend Pullback,2025-07-21,43.99,0.0,0,678410,57.78,89.89,43.89,43.27,0.23,5,True,43.72,0.62,81.82,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support
FNB,Uptrend Pullback,2026-08-07,18.97,0.32,4160182,6497554,54.62,61.69,19.04,18.9,-0.38,5,True,18.5,2.54,43.12,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support
FULT,Uptrend Pullback,2026-08-07,24.24,-0.33,1685227,1880501,44.53,65.99,24.51,24.06,-1.12,4,True,23.75,2.06,33.11,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
INFN,Uptrend Pullback + Sideways Support,2025-02-28,6.64,0.0,0,1319111,58.82,65.22,6.64,6.62,-0.02,3,True,6.6,0.61,23.53,False,0,65,,65,,,,Uptrend Pullback + Sideways Support; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; Price in lower third of recent range; 3 recent red candles; RSI was elevated before pullback; Near recent support
JAMF,Uptrend Pullback,2026-01-30,13.05,0.0,0,2320341,58.82,66.67,13.02,13.01,0.25,4,True,12.98,0.54,87.5,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
MLNK,Uptrend Pullback,2025-10-23,20.01,0.05,8601331,1257306,65.38,56.52,19.98,19.95,0.17,4,True,19.92,0.45,50.0,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
NU,Uptrend Pullback,2026-08-07,13.84,-2.6,47671923,98014646,48.02,71.65,14.17,13.6,-2.32,6,True,13.33,3.83,33.55,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 6 recent red candles; RSI was elevated before pullback; Near recent support
